LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-02,101.6878,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-03,101.5513,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-04,101.2344,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-05,100.8609,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-06,100.6054,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-07,100.61,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-08,100.7829,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-09,101.0229,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-10,101.2738,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-11,101.5138,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2003-12,101.7319,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-01,101.917,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-02,102.0679,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-03,102.1712,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-04,102.2135,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-05,102.2412,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-06,102.3181,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-07,102.498,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-08,102.7478,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-09,103.028,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-10,103.3045,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-11,103.5289,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2004-12,103.6232,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-01,103.5163,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-02,103.3103,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-03,103.1273,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-04,103.0536,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-05,103.0621,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-06,103.1185,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-07,103.2056,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-08,103.2995,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-09,103.3804,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-10,103.4361,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-11,103.4796,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2005-12,103.5258,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2006-01,103.5804,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2006-02,103.6264,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2006-03,103.6352,
