Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Afghanistan,AFG,592.476537451681,590.427738791141,588.930450759474,578.985909020837,584.386882896106,553.036478884366,426.030015291798
Albania,ALB,3952.80253807527,4090.371656678,4249.80373367726,4431.53918098494,4543.38652018643,4410.45516523171,4830.59631691622
Algeria,DZA,4197.42136055142,4246.2435654224,4218.08370129479,4188.22175743517,4153.00481594021,3873.5100150745,3943.17198337712
American Samoa,ASM,13101.5418159165,13116.4309769201,12442.8576653719,13049.3301536176,13288.3565565116,14303.6270325756,14396.3685581274
Andorra,AND,38885.3760140905,39886.4818035358,39321.4582703477,39319.9364136952,39413.6344732996,34394.2775534697,36839.8762185682
Angola,AGO,3100.83068530533,2914.41545872801,2808.52175326664,2677.17781589774,2569.69134652945,2347.78703247628,2299.6405718262
Antigua and Barbuda,ATG,14861.8827074704,15570.9040636643,15962.6801186395,16967.0862296598,17697.2311549703,14040.3675461654,14692.4156212259
Argentina,ARG,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12716.2242038544,11341.2683655863,12402.4907912317
Armenia,ARM,3666.1418758065,3689.8301361784,3985.91675673291,4215.89945615491,4561.96786576599,4256.13129015707,4522.31910742549
Aruba,ABW,28421.3864931862,28852.2370667381,30270.9416008153,31705.2790531117,31762.7340256358,25823.634823564,30271.8334746536
Australia,AUS,56710.4457244504,57356.0512417034,57703.0343638334,58481.0344237649,58870.0216937531,58117.4520268812,59341.2377401658
Austria,AUT,44195.8175947748,44590.2516278164,45281.723399938,46154.6250956541,46647.0809634335,43455.7000665738,45238.3907144733
Azerbaijan,AZE,5500.31038244408,5270.55297483365,5229.5261405359,5262.18380792188,5348.26526707105,5083.3816401988,5344.42134817085
"Bahamas, The",BHS,30206.2404347372,29699.1855975451,30371.580984382,30705.6019729505,31082.8060960243,23566.5753253459,26705.5660079272
Bahrain,BHR,22795.4488576612,22810.7749240924,23019.2557426695,23023.1197800625,23414.2190743533,22510.4040791872,23234.7120724362
Bangladesh,BGD,1236.00506049059,1307.73303467616,1376.60420794304,1460.30501692162,1557.96529123717,1593.3483212523,1684.43438995348
Barbados,BRB,16990.2194668498,17385.2007497069,17430.8732103088,17220.9310014747,17168.1456868491,14855.6898587069,14800.8381460905
Belarus,BLR,5967.05220384914,5811.19794357554,5964.89294392711,6165.90933024502,6264.86096486176,6247.43190947199,6418.23763437028
Belgium,BEL,41008.296719472,41318.0196388476,41825.7628316432,42382.3182763247,43098.4847198889,40612.3924560653,42901.4320595797
Belize,BLZ,6142.47883269283,6024.83594539496,5806.06544944251,5756.8522488581,5907.34887238917,5040.12252132539,5733.35261087401
Benin,BEN,1041.65252315983,1045.15093657582,1072.36196622086,1111.22724012241,1153.72620998083,1164.70594618082,1214.07758989944
Bermuda,BMU,102005.62564189,102407.394383438,107237.031768386,106697.737486296,107036.239271085,99745.2416064214,105187.788086233
Bhutan,BTN,2695.63877250025,2889.49586833102,2998.4752634982,3065.85564992774,3219.64367070669,2878.43770450338,2976.90648315463
Bolivia,BOL,2975.64881137847,3054.89254678859,3135.03164388911,3219.20088567555,3242.94884340563,2920.19744316688,3061.7386096362
